Device Name,Device Label,Device ID,deviceNetworkId,roomName,typeName,manufacturer,model,softwareBuild,Driver Author
Virtual Tile Builder Storage Device 3,Tile Builder Storage 3,249,Tile_Builder_Storage_Device_3,Virtual,Tile Builder Storage Driver,,,,garym
All Fans Group,All Fans Group,650,Group_821,Virtual,Group Switch,,,,hubitat
All Lights Except Porch Group,All Lights Except Porch Group,633,Group_763,Virtual,Group Dimmer,,,,hubitat
All Lights Group,All Lights Group,53,Group_52,Virtual,Group Bulb Dimmer-2.1,,,,hubitat
All Outlets Group,All Outlets Group,203,Group_216,Virtual,Group Switch,,,,hubitat
Bathroom Group,Bathroom Group,318,Group_430,Bathroom,Group Bulb Dimmer-2.1,,,,hubitat
Bedroom Heated Mattress Group,Bedroom Heated Mattress Group,445,Group_570,Bedroom,Group Switch,,,,hubitat
Bedroom Lights Group,Bedroom Lights Group,52,Group_51,Bedroom,Group Bulb Dimmer-2.1,,,,hubitat
Front Porch & Driveway Group,Front Porch & Driveway Group,349,Group_464,Front Porch,Group Switch,,,,hubitat
Garage Lights Group,Garage Lights Group,386,Group_490,Garage,Group Switch,,,,hubitat
Guest Bathroom Lights Group,Guest Bathroom Lights Group,471,Group_604,Guest Bathroom,Group Bulb Dimmer-2.1,,,,hubitat
Hallway Group,Hallway Group,385,Group_489,Hallway,Group Bulb Dimmer-2.1,,,,hubitat
Hallway Lights Group,Hallway Lights Group,384,Group_488,Hallway,Group Bulb Dimmer-2.1,,,,hubitat
Kitchen Lights Group,Kitchen Lights Group,152,Group_144,Kitchen,Group Bulb Dimmer-2.1,,,,hubitat
Laundry Room Group,Laundry Room Group,583,Group_740,Laundry Room,Group Bulb Dimmer-2.1,,,,hubitat
Living Room Ambiance Group,Living Room Ambiance Group,74,Group_89,Living Room,Group Bulb Dimmer-2.1,,,,hubitat
Living Room Group,Living Room Group,641,Group_797,Living Room,Group Bulb Dimmer-2.1,,,,hubitat
Living Room Lights Group,Living Room Lights Group,640,Group_796,Living Room,Group Bulb Dimmer-2.1,,,,hubitat
Mobile Pixel 9 Presence Sensor,Mobile Pixel 9 Presence,11,efef5e6ea12880bd,Office,Mobile App Device,,,,hubitat
Office Lights Group,Office Lights Group,42,Group_37,Office,Group Bulb Dimmer-2.1,,,,hubitat
Office Monitors Group,Office Monitors Group,175,Group_164,Office,Group Switch,,,,hubitat
Patio Group,Patio Group,281,Group_374,Patio,Group Switch,,,,hubitat
Patio Light Group,Patio Light Group,260,Group_330,Patio,Group Bulb Dimmer-2.1,,,,hubitat
Patio Outlet Group,Patio Outlet Group,282,Group_375,Patio,Group Switch,,,,hubitat
POE Outlets Group,POE Outlets Group,647,Group_815,Virtual,Group Switch,,,,hubitat
Virtual Alexa Mode Voice Source Switch,Alexa Mode - Voice Source,1025,89222824-c933-4dcb-8b1f-ea5c25b961e2,Virtual,Virtual Switch,,,,hubitat
Virtual Doorbell Trigger Switch,Doorbell Trigger,144,839aad48-30ae-4364-8c41-44d290c9caee,Virtual,Virtual Switch,,,,hubitat
Virtual GDO Controller Switch,GDO Controller,444,eb973cd0-43f5-4094-baff-602d8b98a9d2,Virtual,Virtual Switch,,,,hubitat
OwnTracks - Jim,OwnTracks - Jim Presence,404,546.1724006,Virtual,OwnTracks Driver,,,,ipekula
Virtual Multibutton Plate Tile Device,Multibutton Plate Tile,54,009ede25-80c1-45dd-958f-6fa1df25f6be,Virtual,Virtual Button,,,,ipekula
Virtual OwnTracks - Common Presence Sensor,OwnTracks - Common Presence,403,546.OwnTracks,Virtual,OwnTracks Common Driver,,,,ipekula
Echos Speak All Over (WHA) Device,All Over (WHA),1064,d2d6b0c499994155a36905b7ce83fa07,House,Echos Speak Advanced Device,,,,jshimota
Echos Speak Bathroom Device w/Sensors,Bathroom Echo w/Sensors,1056,G6G22H0844270ECD,Bathroom,Echos Speak Advanced W/Sensors Device,,,,jshimota
Echos Speak Bedroom Device  w/Clock/Sensors,Bedroom Echo w/Clock/Sensors,1055,G6G22N063493008N,Bedroom,Echos Speak Advanced W/Sensors Device,,,,jshimota
Echos Speak Dining Room Device,Dining Room Echo,1054,G090VC0783960BL4,Dining Room,Echos Speak Advanced Device,,,,jshimota
Echos Speak Downstairs (WHA) Device,Downstairs (WHA),1062,75672f82ac5e444696c66757a6e89f1c,Downstairs,Echos Speak Advanced Device,,,,jshimota
Echos Speak Everywhere (WHA) Device,Everywhere (WHA),1063,ead18ddf95674ed7aa6145b4709a832b,Virtual,Echos Speak Advanced Device,,,,jshimota
Echos Speak Garage Device,Garage Echo,1051,G8M0XG111477089T,Garage,Echos Speak Advanced Device,,,,jshimota
"Echos Speak Guest Bathroom Show 8"" Device","Guest Bathroom Echo Show 8""",1043,G0916D100067042U,Guest Bathroom,Echos Speak Advanced Device,,,,jshimota
Echos Speak Guest Bedroom Device w/Sensors,Guest Bedroom Echo w/Sensors,1052,G6G22H0844260LVW,Guest Bedroom,Echos Speak Advanced W/Sensors Device,,,,jshimota
"Echos Speak Kitchen Show 11"" Device w/Sensors","Kitchen Echo Show 11"" w/Sensors",1060,GSM42807543705SM,Kitchen,Echos Speak Advanced W/Sensors Device,,,,jshimota
Echos Speak Living Room Device,Living Room Echo,1053,G8M11M110474035L,Living Room,Echos Speak Advanced Device,,,,jshimota
Echos Speak Office (WHA) Device,Office (WHA),1057,d8b2a0cb0f9042378df86e1185b68ee3,Office,Echos Speak Advanced Device,,,,jshimota
Echos Speak Office Left Device w/Clock/Sensors,Office Echo Left w/Clock/Sensors,1050,G6G22N063482007T,Office,Echos Speak Advanced W/Sensors Device,,,,jshimota
Echos Speak Office Right Device,Office Echo Right,1037,G090XG07939306XF,Office,Echos Speak Advanced Device,,,,jshimota
Echos Speak Server Status Tile Driver,Echos Speak Server Status Tile,1040,ECHOS_SPEAK_SERVER_STATUS,Virtual,Echos Speak Server Status Tile Driver,,,,jshimota
Echos Speak Upstairs (WHA) Device,Upstairs (WHA),1061,85b2af0654904aea8db544f06c20c513,Upstairs,Echos Speak Advanced Device,,,,jshimota
Entryway THIPL Room State Device,Entryway THIPL Aggregator,955,892,Entryway,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Front Porch THIPL Room State Device,Front Porch THIPL Aggregator,974,909,Front Porch,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Garage THIPL Room State Device,Garage THIPL Aggregator,956,893,Garage,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Guest Bathroom THIPL Room State Device,Guest Bathroom THIPL Aggregator,957,894,Guest Bathroom,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Guest Bedroom THIPL Room State Device,Guest Bedroom THIPL Aggregator,958,895,Guest Bedroom,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Hallway THIPL Room State Device,Hallway THIPL Aggregator,959,896,Hallway,Virtual THIPL Room State Aggregator Driver,,,,jshimota
House THIPL Room State Device,House THIPL Aggregator,967,906,House,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Kitchen THIPL Room State Device,Kitchen THIPL Aggregator,960,897,Kitchen,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Laundry Room THIPL Room State Device,Laundry Room THIPL Aggregator,961,898,Laundry Room,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Living Room THIPL Room State Device,Living Room THIPL Aggregator,962,899,Living Room,Virtual THIPL Room State Aggregator Driver,,,,jshimota
MEM Tile Device,MEM - Living Room Tile,984,MEM_TILE_922,Virtual,MEM Dashboard Tile,,,,jshimota
Office THIPL Room State Device,Office THIPL Aggregator,963,900,Office,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Outside THIPL Room State Device,Outside THIPL Aggregator,976,912,Outside,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Patio THIPL Room State Device,Patio THIPL Aggregator,975,910,Patio,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Stairwell THIPL Room State Device,Stairwell THIPL Aggregator,965,903,Stairwell,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Upstairs THIPL Room State Device,Upstairs THIPL Aggregator,966,904,Upstairs,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Virtual AirNow Air Quality Index Tile Device,AirNow AQI Tile,217,224e696f-d0f4-4d68-b5fa-4d73df7eebff,Virtual,Air Quality from AirNow Custom,,,,jshimota
Virtual Alexa Mode - Awake Switch,Alexa Mode - Awake,1008,64134e44-712a-44bf-bca0-be8c4ac589a8,Virtual,Virtual Presence Contact and Switch,,,,jshimota
Virtual Alexa Mode - Home Switch,Alexa Mode - Home,649,4a6165f8-33fd-48dc-9e0b-623e840f5adb,Virtual,Virtual Presence Contact and Switch,,,,jshimota
